Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Target
80,496,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,4032.258065,496.0,0.0,496,496,496,496.0,0.0,496,496,0,0.0,0.0,0,0,0,0,0,0,64,0,4032.258065,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,237,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
2160,61,2,2,4,12,2,2,2.0,0.0,6,6,6.0,0.0,262295.082,65573.77049,20.33333333,31.75426481,57,2,2,2.0,0.0,2,2,2,2.0,0.0,2,2,0,0,0,0,48,40,32786.88525,32786.88525,2,6,3.6,2.19089023,4.8,0,0,0,1,0,0,0,0,1,4.5,2.0,6.0,48,0,0,0,0,0,0,2,4,2,12,1024,0,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
80,146616,3,5,390,11595,390,0,130.0,225.166605,8688,0,2319.0,3774.237539,81744.14798,54.56430403,20945.14286,48133.39477,129179,5,16993,8496.5,12008.79446,16988,5,146496,36624.0,62205.96101,129179,191,0,0,0,0,104,168,20.46161401,34.10269002,0,8688,1331.666667,2916.769532,8507544.5,0,0,0,1,0,0,0,0,1,1498.125,130.0,2319.0,104,0,0,0,0,0,0,3,390,5,11595,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS Hulk,1
80,100814815,8,8,754,11595,368,0,94.25,168.9849951,5792,0,1449.375,2046.673464,122.4919175,0.158706833,6720987.667,25700000.0,99500000,1,101000000,14400000.0,37500000.0,99500000,1,101000000,14400000.0,37900000.0,100000000,46,0,0,0,0,236,264,0.079353416,0.079353416,0,5792,726.7647059,1529.285435,2338713.941,1,0,0,0,0,0,0,0,1,772.1875,94.25,1449.375,236,0,0,0,0,0,0,8,754,8,11595,0,235,4,20,10022.0,0.0,10022,10022,99500000.0,0.0,99500000,99500000,DoS Hulk,1
27353,23,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,260869.5652,86956.52174,23.0,0.0,23,23,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,43478.26087,43478.26087,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan,1
53,145,2,2,72,136,36,36,36.0,0.0,68,68,68.0,0.0,1434482.759,27586.2069,48.33333333,77.6552209,138,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,40,40,13793.10345,13793.10345,36,68,48.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,61.0,36.0,68.0,40,0,0,0,0,0,0,2,72,2,136,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
1027,75,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,80000.0,26666.66667,75.0,0.0,75,75,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,13333.33333,13333.33333,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan,1
53,23952,2,2,70,166,35,35,35.0,0.0,83,83,83.0,0.0,9853.039412,167.000668,7984.0,13823.4975,23946,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,64,83.500334,83.500334,35,83,54.2,26.29068276,691.2,0,0,0,0,0,0,0,0,1,67.75,35.0,83.0,40,0,0,0,0,0,0,2,70,2,166,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
80,6040813,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,4.966218951,0.827703158,1510203.25,3019748.535,6039826,1,6040813,1510203.25,3019748.535,6039826,1,0,0.0,0.0,0,0,0,0,0,0,100,0,0.827703158,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,987.0,0.0,987,987,6039826.0,0.0,6039826,6039826,DDoS,1
80,6594675,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,3.63929989,0.606549982,2198225.0,3806806.922,6593947,228,6594675,2198225.0,3806806.922,6593947,228,0,0.0,0.0,0,0,0,0,0,0,80,0,0.606549982,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,728.0,0.0,728,728,6593947.0,0.0,6593947,6593947,DDoS,1
80,116435161,7,7,318,11595,300,0,45.42857143,112.2955285,5792,0,1656.428571,2120.732252,102.3144547,0.120238594,8956550.846,27800000.0,100000000,0,116000000,19400000.0,40200000.0,100000000,1015,116000000,19400000.0,47500000.0,116000000,46,0,0,0,0,204,232,0.060119297,0.060119297,0,5792,794.6,1621.521058,2629330.543,1,0,0,0,0,0,0,0,1,851.3571429,45.42857143,1656.428571,204,0,0,0,0,0,0,7,318,7,11595,0,235,3,20,11994.0,0.0,11994,11994,58200000.0,59600000.0,100000000,16000000,DoS Hulk,1
32782,42,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,142857.1429,47619.04762,42.0,0.0,42,42,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,23809.52381,23809.52381,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan,1
80,86657768,10,6,396,11595,396,0,39.6,125.2261953,5792,0,1932.5,2537.820147,138.3718999,0.184634342,5777184.533,22100000.0,85700000,3,86700000,9628559.0,28500000.0,85700000,3,3484,696.8,1207.727908,2841,14,0,0,0,0,336,200,0.115396464,0.069237878,0,5792,705.3529412,1701.266475,2894307.618,0,0,0,0,1,0,0,0,0,749.4375,39.6,1932.5,336,0,0,0,0,0,0,10,396,6,11595,251,235,1,32,1202.0,0.0,1202,1202,85700000.0,0.0,85700000,85700000,DoS Hulk,1
9001,52,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,153846.1538,38461.53846,52.0,0.0,52,52,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,19230.76923,19230.76923,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan,1
80,82220975,8,6,56,11601,20,0,7.0,5.656854249,4380,0,1933.5,1757.789948,141.7764749,0.170272853,6324690.385,21800000.0,78900000,1,82200000,11700000.0,29700000.0,78900000,1,39183,7836.6,14642.79332,33761,15,0,0,0,0,172,132,0.097298773,0.07297408,0,4380,777.5333333,1434.571657,2057995.838,0,0,0,0,1,0,0,0,0,833.0714286,7.0,1933.5,172,0,0,0,0,0,0,8,56,6,11601,256,229,6,20,3234735.0,0.0,3234735,3234735,78900000.0,0.0,78900000,78900000,DDoS,1
443,12850,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,155.6420233,12850.0,0.0,12850,12850,12850,12850.0,0.0,12850,12850,0,0.0,0.0,0,0,0,0,0,0,64,0,155.6420233,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,338,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
443,159850,11,6,1699,799,1368,0,154.4545454545,405.4765994817,661,0,133.1666666667,264.4106024097,15627.1504535502,106.3497028464,9990.625,15341.6371176612,37136,3,159850,15985.0,20999.3298411587,54159,3,94458,18891.6,18644.895153902,38520,322,0,0,0,0,364,200,68.8145136065,37.5351892399,0,1368,138.7777777778,344.3518302645,118578.183006536,0,0,0,1,0,0,0,0,0,146.9411764706,154.4545454545,133.1666666667,364,0,0,0,0,0,0,11,1699,6,799,65535,362,6,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
53,24440,2,2,66,218,33,33,33.0,0.0,109,109,109.0,0.0,11620.2946,163.6661211,8146.666667,14066.29128,24389,3,48,48.0,0.0,48,48,3,3.0,0.0,3,3,0,0,0,0,80,80,81.83306056,81.83306056,33,109,63.4,41.62691437,1732.8,0,0,0,0,0,0,0,0,1,79.25,33.0,109.0,80,0,0,0,0,0,0,2,66,2,218,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
60067,1116,3,0,286,0,274,6,95.33333333,154.7298721,0,0,0.0,0.0,256272.4014,2688.172043,558.0,783.4743136,1112,4,1116,558.0,783.4743136,1112,4,0,0.0,0.0,0,0,0,0,0,0,60,0,2688.172043,0.0,6,274,73.0,134.0,17956.0,0,0,0,0,1,0,0,0,0,97.33333333,95.33333333,0.0,60,0,0,0,0,0,0,3,286,0,0,60,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
443,118721457,22,24,1376,5314,248,0,62.54545455,68.92765515,1430,0,221.4166667,451.1589826,56.3503866,0.387461552,2638254.6,12100000.0,58200000,1,119000000,5653402.714,17500000.0,58300000,205,119000000,5157922.304,16800000.0,58300000,1,0,0,0,0,452,492,0.185307699,0.202153853,0,1430,142.3404255,332.6999743,110689.2729,0,0,0,1,0,0,0,0,1,145.4347826,62.54545455,221.4166667,452,0,0,0,0,0,0,22,1376,24,5314,8192,360,21,20,1089846.0,1408997.943,2086158,93534,58200000.0,24248.81285,58200000,58200000,BENIGN,0
12430,67,3,1,31,0,31,0,10.33333333,17.89785834,0,0,0.0,0.0,462686.5672,59701.49254,22.33333333,34.38507428,62,1,5,2.5,2.121320344,4,1,0,0.0,0.0,0,0,0,0,0,0,60,20,44776.1194,14925.37313,0,31,6.2,13.86362146,192.2,0,0,0,0,1,0,0,0,0,7.75,10.33333333,0.0,60,0,0,0,0,0,0,3,31,1,0,31,0,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
80,35179522,203,104,43906,72172,602,0,216.2857143,228.4931854,1067,0,693.9615385,362.4653428,3299.590029,8.726667747,114965.7582,328457.5088,3551455,48,35200000,174142.2376,391664.5568,3551455,879,35200000,341547.7767,517499.6137,3552344,48,0,0,0,0,6504,3336,5.770402452,2.956265295,0,1067,376.8766234,360.5652878,130007.3267,0,0,0,1,0,0,0,0,0,378.1042345,216.2857143,693.9615385,6504,0,0,0,0,0,0,203,43906,104,72172,29200,1176,101,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack - Brute Force,1
80,86268090,10,6,608,11595,304,0,60.8,128.1776545,5792,0,1932.5,2181.008184,141.4543895,0.185468346,5751206.0,22200000.0,85900000,2,86100000,9570066.0,28600000.0,85900000,2,367525,73505.0,105741.6133,230037,46,0,0,0,0,328,200,0.115917717,0.06955063,0,5792,717.8235294,1533.308361,2351034.529,0,0,0,0,1,0,0,0,0,762.6875,60.8,1932.5,328,0,0,0,0,0,0,10,608,6,11595,251,235,2,32,1237.0,0.0,1237,1237,85900000.0,0.0,85900000,85900000,DoS Hulk,1
80,98859757,6,7,392,11595,374,0,65.33333333,151.2437327,4344,0,1656.428571,1760.597234,121.252574,0.131499413,8238313.083,28500000.0,98700000,2,98700000,19700000.0,44100000.0,98700000,2,98900000,16500000.0,40300000.0,98700000,47,0,0,0,0,164,232,0.060692037,0.070807376,0,4344,856.6428571,1458.946069,2128523.632,1,0,0,0,0,0,0,0,1,922.5384615,65.33333333,1656.428571,164,0,0,0,0,0,0,6,392,7,11595,0,235,3,20,13023.0,0.0,13023,13023,98700000.0,0.0,98700000,98700000,DoS Hulk,1
80,165,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,12121.21212,165.0,0.0,165,165,165,165.0,0.0,165,165,0,0.0,0.0,0,0,0,0,0,0,64,0,12121.21212,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,264,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
21,8793103,9,15,109,188,28,0,12.11111111,10.08023368,34,0,12.53333333,14.54975045,33.77647231,2.729411904,382308.8261,988344.4086,3225017,20,6374470,796808.75,1447171.169,3269596,262,8793002,628071.5714,1219377.84,3225017,47,0,0,0,0,296,488,1.023529464,1.70588244,0,34,11.88,12.78775456,163.5266667,0,0,0,1,0,0,0,0,1,12.375,12.11111111,12.53333333,296,0,0,0,0,0,0,9,109,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator,1
22,102,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,19607.84314,102.0,0.0,102,102,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,9803.921569,9803.921569,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,290,243,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
57667,131,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,15267.17557,131.0,0.0,131,131,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,7633.587786,7633.587786,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,140,33304,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
57415,32,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,375000.0,62500.0,32.0,0.0,32,32,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,31250.0,31250.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,18980,64240,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
80,633905,3,6,26,11601,20,0,8.666666667,10.26320288,5840,0,1933.5,2189.772933,18341.86511,14.19771101,79238.125,216616.6798,615142,49,18028,9014.0,11325.02221,17022,1006,633851,126770.2,273117.1419,615142,49,0,0,0,0,72,132,4.732570338,9.465140676,0,5840,1162.7,1911.59573,3654198.233,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,1
52517,115,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,104347.8261,17391.30435,115.0,0.0,115,115,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,8695.652174,8695.652174,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,335,258,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
80,109343764,4,3,524,0,520,0,131.0,259.3401884,0,0,0.0,0.0,4.792225737,0.064018283,18200000.0,44600000.0,109000000,39,109000000,36400000.0,63100000.0,109000000,605,109000000,54700000.0,77300000.0,109000000,5252,0,0,0,0,136,104,0.036581876,0.027436407,0,520,65.5,183.6510667,33727.71429,0,0,0,1,0,0,0,0,0,74.85714286,131.0,0.0,136,0,0,0,0,0,0,4,524,3,0,29200,235,2,32,5304.0,0.0,5304,5304,109000000.0,0.0,109000000,109000000,DoS Slowhttptest,1
80,65245,3,3,26,11601,20,0,8.666666667,10.26320288,11595,0,3867.0,6692.644993,178205.2265,91.96106981,13049.0,18402.17342,39121,1,26044,13022.0,18414.4748,26043,1,65192,32596.0,9227.743494,39121,26071,0,0,0,0,72,72,45.98053491,45.98053491,0,11595,1661.0,4380.487987,19200000.0,0,0,0,1,0,0,0,0,1,1937.833333,8.666666667,3867.0,72,0,0,0,0,0,0,3,26,3,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,1
52473,65,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,30769.23077,65.0,0.0,65,65,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,15384.61538,15384.61538,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,340,240,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
80,110436049,28,28,16892,13147,2163,0,603.2857143,844.5622077,1378,0,469.5357143,643.0146869,272.0035738,0.507080799,2007928.164,3519154.644,10000000,71,110000000,4088364.222,4136371.187,10100000,54123,110000000,4088222.111,4176258.185,10100000,182,0,0,0,0,572,656,0.2535404,0.2535404,0,2163,527.0,743.489264,552776.2857,0,0,0,1,0,0,0,0,1,536.4107143,603.2857143,469.5357143,572,0,0,0,0,0,0,28,16892,28,13147,8192,136,17,20,3099702.667,5897480.174,13900000,50092,9165390.0,1737499.062,10000000,5142299,BENIGN,0
53,101193,2,2,88,244,44,44,44.0,0.0,122,122,122.0,0.0,3280.859348,39.52842588,33731.0,58379.64283,101142,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,40,40,19.76421294,19.76421294,44,122,75.2,42.72235949,1825.2,0,0,0,0,0,0,0,0,1,94.0,44.0,122.0,40,0,0,0,0,0,0,2,88,2,244,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
444,39,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,205128.2051,51282.05128,39.0,0.0,39,39,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,25641.02564,25641.02564,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan,1
53,23468,1,1,49,114,49,49,49.0,0.0,114,114,114.0,0.0,6945.628089,85.22243054,23468.0,0.0,23468,23468,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,42.61121527,42.61121527,49,114,70.66666667,37.5277675,1408.333333,0,0,0,0,0,0,0,0,1,106.0,49.0,114.0,20,0,0,0,0,0,0,1,49,1,114,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
50528,31,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,64516.12903,31.0,0.0,31,31,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,32258.06452,32258.06452,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,285,241,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
3827,11,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,727272.7273,181818.1818,11.0,0.0,11,11,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,90909.09091,90909.09091,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan,1
